Entry(1s),Source 1,Source 2,Source 3,Source 4
1,1558,388,1924,3078
2,1600,391,1893,3034
3,1562,365,1566,2936
4,1554,334,1701,2894
5,1500,298,1636,2794
6,1531,309,1779,2783
7,1498,276,1466,2628
8,1491,261,1328,2607
9,1301,214,1048,2281
10,1463,240,1463,2502
11,1436,219,1042,2399
12,1435,212,1186,2376
13,1403,188,1154,2293
14,1375,178,1065,2238
15,1396,169,1275,2201
16,1364,171,966,2154
17,1363,146,920,2095
18,1181,124,875,1821
19,1345,139,805,2001
20,1306,136,875,1954
21,1308,121,832,1917
22,1266,111,799,1832
23,1292,112,984,1825
24,1252,105,707,1752
25,1257,98,663,1741
26,1073,80,659,1511
27,1247,93,599,1660
28,1204,89,663,1603
29,1197,79,610,1579
30,1176,73,598,1539
31,1170,80,558,1515
32,1173,68,542,1473
33,1135,71,765,1450
34,1028,54,490,1275
35,1109,61,476,1366
36,1123,59,489,1350
37,1103,61,473,1324
38,1099,54,468,1297
39,1062,49,434,1254
40,1075,57,422,1241
41,1058,51,405,1184
42,953,39,388,1079
43,1014,46,375,1148
44,1035,48,393,1133
45,1020,45,384,1086
46,1010,39,364,1090
47,982,39,361,1061
48,976,42,336,1048
49,984,39,333,998
50,965,40,306,989
51,852,29,303,880
52,937,39,294,962
53,955,36,320,921
54,924,36,293,905
55,914,33,292,913
56,886,30,285,878
57,903,37,273,861
58,896,33,266,834
59,800,27,252,747
60,845,29,504,816
61,869,35,270,793
62,860,31,6,772
63,853,27,240,760
64,815,29,499,752
65,818,32,242,743
66,838,29,229,697
67,735,24,214,638
68,767,30,215,684
69,712,24,32,625
70,788,32,211,690
71,800,28,234,651
72,775,27,216,651
73,780,29,229,647
74,734,25,218,626
75,764,31,221,618
76,752,27,211,591
77,671,22,204,543
78,711,24,185,586
79,731,32,211,568
80,726,26,196,547
81,713,22,192,549
82,683,27,188,552
83,693,29,205,529
84,698,26,189,502
85,626,21,181,461
86,660,26,159,507
87,659,29,192,497
88,676,25,180,464
89,662,23,169,477
90,643,26,176,475
91,621,25,171,453
92,637,29,176,454
93,586,21,170,385
94,620,25,141,438
95,600,24,160,423
96,607,29,167,427
97,625,25,163,391
98,595,21,148,405
99,582,26,150,403
100,580,29,163,393
101,543,23,155,329
102,566,21,129,377
103,560,25,137,372
104,557,29,158,372
105,569,24,150,337
106,559,23,137,363
107,545,23,138,343
108,525,27,143,340
109,531,28,146,332
110,492,18,136,295
111,521,25,115,324
112,504,24,135,312
113,511,28,136,316
114,522,24,135,293
115,507,21,121,307
116,485,24,126,287
117,486,29,134,302
118,458,23,128,248
119,479,20,106,282
120,474,25,118,276
121,466,29,132,281
122,477,23,125,260
123,477,24,112,264
124,454,23,115,255
125,443,27,117,265
126,455,28,123,250
127,412,18,116,217
128,443,23,93,241
129,422,27,114,247
130,434,28,118,235
131,433,23,113,228
132,434,22,102,226
133,400,24,105,232
134,423,29,112,219
135,381,22,111,192
136,411,21,87,210
137,389,24,101,221
138,403,30,109,207
139,402,23,108,198
140,398,22,95,197
141,390,22,96,202
142,364,28,102,202
143,352,22,104,164
144,390,24,85,189
145,372,23,92,188
146,352,27,99,194
147,377,28,102,178
148,367,21,95,174
149,364,24,86,173
150,337,24,92,182
151,328,27,95,151
152,352,23,84,165
153,346,21,85,161
154,326,24,87,172
155,345,29,92,159
156,341,24,92,155
157,332,21,78,149
158,330,24,84,161
159,283,27,88,144
