Entry,Col2,Col3,Col4,Col5
1,1,0,113,517
2,948,234,1027,1862
3,1590,396,1937,3058
4,1576,378,1892,2984
5,1519,316,1579,2883
6,1540,337,1697,2854
7,1385,276,1409,2481
8,1515,295,1396,2710
9,1464,253,1527,2625
10,1476,258,1436,2583
11,1466,242,1391,2461
12,1464,223,1053,2470
13,1413,207,1273,2380
14,1413,203,1208,2330
15,1393,184,1166,2240
16,1263,161,833,2017
17,1303,183,1228,2150
18,1225,136,901,1928
19,1361,159,964,2125
20,1348,145,910,2040
21,1342,150,874,2052
22,1320,125,814,1951
23,1276,124,769,1908
24,1314,117,994,1878
25,1261,117,969,1824
26,1283,108,683,1795
27,1106,83,635,1557
28,1257,98,682,1704
29,1205,95,650,1655
30,1234,86,638,1648
31,1175,78,578,1568
32,1203,82,586,1570
33,1168,78,526,1507
34,1174,70,528,1498
35,1147,66,739,1454
36,1025,62,477,1278
37,1125,62,488,1393
38,1123,63,490,1366
39,1120,56,463,1331
40,1077,56,442,1296
41,1090,55,420,1262
42,1078,55,426,1241
43,1065,48,387,1235
44,1029,44,379,1177
45,943,47,361,1046
46,1035,47,395,1132
47,1026,41,366,1130
48,987,43,353,1083
49,1006,45,353,1079
50,995,41,326,1023
51,983,36,328,1029
52,958,37,308,1003
53,953,39,303,991
54,870,35,281,839
55,931,34,313,942
56,925,33,310,935
57,906,37,287,907
58,930,34,273,876
59,898,33,269,860
60,895,31,261,863
61,858,28,257,826
62,799,32,242,728
63,875,32,270,799
64,861,30,508,792
65,821,27,511,773
66,845,35,238,752
67,840,29,231,734
68,820,25,229,719
69,802,30,232,719
70,799,31,214,708
71,730,26,202,600
72,796,26,220,667
73,768,27,230,667
74,760,31,215,653
75,779,28,198,615
76,766,26,198,617
77,749,29,195,619
78,717,24,197,599
79,744,31,174,583
80,668,23,175,506
81,721,26,194,574
82,688,24,196,552
83,712,30,183,542
84,707,27,177,524
85,694,22,173,523
86,671,25,187,518
87,673,31,165,510
88,676,25,157,474
89,608,20,149,435
90,643,26,185,488
91,644,29,164,472
92,653,25,159,443
93,649,24,148,458
94,624,24,158,449
95,609,27,160,435
96,617,29,138,431
97,569,19,132,370
98,602,26,155,419
99,585,25,159,408
100,595,29,147,396
101,604,25,139,381
102,582,22,139,392
103,558,25,146,373
104,571,29,137,383
105,577,24,126,347
106,504,19,125,330
107,544,24,150,350
108,540,30,136,358
109,550,23,127,325
110,547,24,123,343
111,530,23,129,330
112,506,27,129,327
113,525,27,114,313
114,481,19,110,282
115,506,23,132,304
116,491,27,129,307
117,503,28,122,297
118,507,21,114,289
119,492,24,118,287
120,466,24,119,278
121,482,29,116,288
122,488,24,101,262
123,427,19,107,244
124,446,24,123,265
125,468,29,118,270
126,467,24,105,246
127,457,21,103,248
128,436,24,113,255
129,438,29,114,250
130,445,25,100,233
131,441,24,90,239
132,386,19,96,208
133,414,28,111,236
134,424,27,104,220
135,430,22,94,224
136,416,23,101,216
137,393,25,102,225
138,407,29,97,209
139,407,23,82,198
140,364,19,91,188
141,378,25,105,210
142,396,29,103,197
143,393,24,84,186
144,387,20,90,189
145,375,24,101,203
146,368,30,98,187
147,379,25,82,180
148,370,23,78,183
149,326,19,83,163
150,350,29,95,181
151,364,25,84,169
152,359,24,80,172
153,355,23,83,165
154,325,24,90,175
155,352,29,82,164
156,344,24,70,156
157,302,19,78,141
158,321,24,92,165
159,338,30,86,153
160,331,23,74,150
161,326,21,78,140
162,314,24,85,158
163,313,29,84,153
164,321,24,68,135
165,311,23,69,143
166,271,20,74,127
167,306,30,83,146
168,308,24,73,129
169,297,23,71,136
170,305,25,75,133
171,274,24,75,132
172,303,28,71,134
173,294,24,64,119
174,256,19,66,113
175,266,24,76,129
176,292,29,74,125
177,277,24,67,112
178,273,20,67,115
179,265,25,73,126
180,277,29,74,120
181,264,23,61,107
182,268,23,57,109
183,231,20,65,102
184,261,29,73,115
185,259,24,65,102
186,254,23,62,106
187,258,25,68,109
188,237,25,68,107
189,253,28,62,106
190,246,24,56,96
191,224,20,56,90
192,234,25,4,95
193,205,23,65,92
194,241,28,68,106
195,245,24,60,86
196,231,21,58,93
197,224,24,70,100
198,235,30,68,96
199,224,23,56,86
200,232,24,59,88
201,193,20,59,86
202,227,29,65,91
203,214,23,56,82
204,229,24,58,86
205,211,23,60,87
206,204,27,67,89
207,215,28,57,83
208,215,21,55,79
209,181,19,49,72
210,200,27,65,84
211,204,28,59,81
